"Timestamp","Σε ποια χώρα έχεις μεταναστεύσει;","Πόσα χρόνια ζεις εκτός Ελλάδος;","Την ποιότητα ζωής;","Τις σχέσεις με το Κράτος (γραφειοκρατία , Μέσα Μαζικής Μεταφοράς, κλπ.);","Την δυνατότητα ανέλιξης στην νέα σου χώρα;","Την δυνατότητα ένταξης στην κοινωνία;","Την ποιότητα ζωής;","Τις σχέσεις με το Κράτος (γραφειοκρατία , Μέσα Μαζικής Μεταφοράς, κλπ.);","Την δυνατότητα ανέλιξης στην νέα σου χώρα;","Την δυνατότητα ένταξης στην κοινωνία;","Για ποιους λόγους θέλεις να γυρίσεις;","Τι είναι αυτό που σε κάνει να θες να μείνεις στο εξωτερικό ;"
7/12/2019 13:45:31,"Australia",6,10,7,10,7,9,7,10,7,,"Οι δυνατότητες επαγγελματικής ανέλιξης που μου προσφέρονται., Προτιμώ το νέο μου κοινωνικό περιβάλλον., Η ποιότητα ζωής μου., Παρότι Έλληνας, νιώθω αποξενωμένος στην Ελλάδα, λόγω της κατάστασης στην χώρα."
7/12/2019 13:49:34,"Japan",7,10,9,10,10,10,8,7,10,,"Οι δυνατότητες επαγγελματικής ανέλιξης που μου προσφέρονται., Η ποιότητα ζωής μου."
7/12/2019 15:23:18,"Germany",3,2,8,3,2,7,8,8,2,"Θα γυρούσα αμέσως αν θα μπορούσα να δουλέψω από απόσταση.","Οι δυνατότητες επαγγελματικής ανέλιξης που μου προσφέρονται."
7/12/2019 15:27:23,"United Kingdom",12,8,10,9,10,8,8,10,8,,"Οι δυνατότητες επαγγελματικής ανέλιξης που μου προσφέρονται., Προτιμώ το νέο μου κοινωνικό περιβάλλον., Η ποιότητα ζωής μου., Η ποιότητα ζωής μου σε συνδυασμό με το κόστος ζωής., Παρότι Έλληνας, νιώθω αποξενωμένος στην Ελλάδα, λόγω της κατάστασης στην χώρα."
7/12/2019 15:32:40,"Germany","Λιγότερο από 1 χρόνο",7,2,9,9,8,6,9,9,"Θα γυρούσα αμέσως αν θα μπορούσα να δουλέψω από απόσταση., Για τον κοινωνικό μου κύκλο που άφησα πίσω., Καλύτερος συνδυασμός κόστους/ποιότητας ζωής.","Οι δυνατότητες επαγγελματικής ανέλιξης που μου προσφέρονται., ερευνητικό ενδιαφέρον"
7/12/2019 15:35:59,"United States",7,8,8,9,8,7,8,9,7,"Θα γυρούσα αμέσως αν θα μπορούσα να δουλέψω από απόσταση., Για τον κοινωνικό μου κύκλο που άφησα πίσω.","Οι δυνατότητες επαγγελματικής ανέλιξης που μου προσφέρονται., Παρότι Έλληνας, νιώθω αποξενωμένος στην Ελλάδα, λόγω της κατάστασης στην χώρα."
7/12/2019 15:36:00,"Canada",10,8,10,10,9,10,10,10,10,"Δε προκειται να γυρισω,αφησα τη σαπιλα πισω,βρηκα την υγεια μου εδω","Η ποιότητα ζωής μου."
7/12/2019 15:48:10,"United Kingdom",2,7,8,7,8,8,8,8,8,,"Οι δυνατότητες επαγγελματικής ανέλιξης που μου προσφέρονται., Η ποιότητα ζωής μου., Παρότι Έλληνας, νιώθω αποξενωμένος στην Ελλάδα, λόγω της κατάστασης στην χώρα."
7/12/2019 15:58:03,"United Kingdom",2,1,4,10,5,3,7,10,5,"Αν ήθελα να πίνω μέχρι θανάτου κάθε σκ τότε θα ήμουν μια χαρά. Δε μπορώ όμως τον τρόπο ζωής αυτόν.","Οι δυνατότητες επαγγελματικής ανέλιξης που μου προσφέρονται."
7/12/2019 16:27:49,"Norway",7,5,7,7,10,8,8,8,9,"Για τον κοινωνικό μου κύκλο που άφησα πίσω.","Η ποιότητα ζωής μου."
7/12/2019 16:44:28,"Netherlands",2,8,10,9,7,7,8,9,5,"Θα γυρούσα αμέσως αν θα μπορούσα να δουλέψω από απόσταση., Για τον κοινωνικό μου κύκλο που άφησα πίσω., Καλύτερος συνδυασμός κόστους/ποιότητας ζωής., Νιώθω αποξενωμένος στο Εξωτερικό.","Οι δυνατότητες επαγγελματικής ανέλιξης που μου προσφέρονται."
7/12/2019 16:48:03,"United Kingdom",12,7,8,7,7,9,10,10,9,,"Οι δυνατότητες επαγγελματικής ανέλιξης που μου προσφέρονται., Προτιμώ το νέο μου κοινωνικό περιβάλλον., Η ποιότητα ζωής μου., Παρότι Έλληνας, νιώθω αποξενωμένος στην Ελλάδα, λόγω της κατάστασης στην χώρα."
7/12/2019 16:51:12,"Switzerland","Λιγότερο από 1 χρόνο",10,10,10,5,10,10,10,5,"Θα γυρούσα αμέσως αν θα μπορούσα να δουλέψω από απόσταση., Για τον κοινωνικό μου κύκλο που άφησα πίσω., Καλύτερος συνδυασμός κόστους/ποιότητας ζωής., Νιώθω αποξενωμένος στο Εξωτερικό.","Οι δυνατότητες επαγγελματικής ανέλιξης που μου προσφέρονται."
7/12/2019 17:04:51,"United Kingdom",4,4,10,8,6,7,10,10,9,"Για τον κοινωνικό μου κύκλο που άφησα πίσω., Καλύτερος συνδυασμός κόστους/ποιότητας ζωής.","Οι δυνατότητες επαγγελματικής ανέλιξης που μου προσφέρονται., Παρότι Έλληνας, νιώθω αποξενωμένος στην Ελλάδα, λόγω της κατάστασης στην χώρα."
7/12/2019 17:23:59,"Germany",20,3,3,3,1,3,4,1,2,"Θα γυρούσα αμέσως αν θα μπορούσα να δουλέψω από απόσταση., Καλύτερος συνδυασμός κόστους/ποιότητας ζωής., Νιώθω αποξενωμένος στο Εξωτερικό.","Οι δυνατότητες επαγγελματικής ανέλιξης που μου προσφέρονται."
7/12/2019 17:28:48,"Sweden",2,9,9,7,9,9,9,7,9,"Καλύτερος συνδυασμός κόστους/ποιότητας ζωής.","Οι δυνατότητες επαγγελματικής ανέλιξης που μου προσφέρονται., Προτιμώ το νέο μου κοινωνικό περιβάλλον., Η ποιότητα ζωής μου., Η ποιότητα ζωής μου σε συνδυασμό με το κόστος ζωής., Παρότι Έλληνας, νιώθω αποξενωμένος στην Ελλάδα, λόγω της κατάστασης στην χώρα."
7/12/2019 17:30:53,"United States","Λιγότερο από 1 χρόνο",9,9,6,10,9,9,6,10,"Καλύτερος συνδυασμός κόστους/ποιότητας ζωής.","Προτιμώ το νέο μου κοινωνικό περιβάλλον., Η ποιότητα ζωής μου., Η ποιότητα ζωής μου σε συνδυασμό με το κόστος ζωής., Παρότι Έλληνας, νιώθω αποξενωμένος στην Ελλάδα, λόγω της κατάστασης στην χώρα."
7/12/2019 17:49:28,"Finland",14,10,10,8,8,10,10,9,10,,"Προτιμώ το νέο μου κοινωνικό περιβάλλον., Η ποιότητα ζωής μου., Παρότι Έλληνας, νιώθω αποξενωμένος στην Ελλάδα, λόγω της κατάστασης στην χώρα."
7/12/2019 17:56:23,"United Kingdom",7,8,9,7,6,4,8,6,4,,"Οι δυνατότητες επαγγελματικής ανέλιξης που μου προσφέρονται."
7/12/2019 18:00:38,"Denmark",3,7,7,8,7,8,9,8,8,"Για τον κοινωνικό μου κύκλο που άφησα πίσω., Οικογένεια. Κλίμα. Ίσως και κάποια στοιχεία κουλτούρας (τα οποία δεν είναι απαραίτητα καλύτερα στην Ελλάδα, αλλά ίσως πιο βολικά ή πιο σωστά βολεμα-τικά) ","Οι δυνατότητες επαγγελματικής ανέλιξης που μου προσφέρονται., Η ποιότητα ζωής μου., Ήρθα για σπουδές, πλέον δουλεύω. Είναι δύσκολο να αποχωριστείς όσα έχεις χτίσει για κάποια χρόνια, ώστε να επιστρέψεις σε μια πιο δύσκολη καθημερινότητα. "
7/12/2019 18:35:57,"Netherlands",4,9,8,7,4,9,7,7,4,"Θα γυρούσα αμέσως αν θα μπορούσα να δουλέψω από απόσταση., Για τον κοινωνικό μου κύκλο που άφησα πίσω., Νιώθω αποξενωμένος στο Εξωτερικό.","Η ποιότητα ζωής μου σε συνδυασμό με το κόστος ζωής."
7/12/2019 18:40:58,"Czech Republic",3,6,8,9,6,8,8,9,7,"Δε θελω να γυρισω","Οι δυνατότητες επαγγελματικής ανέλιξης που μου προσφέρονται., Η ποιότητα ζωής μου., Η ποιότητα ζωής μου σε συνδυασμό με το κόστος ζωής., Παρότι Έλληνας, νιώθω αποξενωμένος στην Ελλάδα, λόγω της κατάστασης στην χώρα., Ο κρατισμός στην Ελλάδα"
7/12/2019 20:48:44,"United States",3,8,10,7,7,10,10,10,8,"Θα γυρούσα αμέσως αν θα μπορούσα να δουλέψω από απόσταση., Για τον κοινωνικό μου κύκλο που άφησα πίσω., Νιώθω αποξενωμένος στο Εξωτερικό.",
7/13/2019 0:32:40,"United Kingdom",4,9,10,10,7,8,10,10,8,"Θα γυρούσα αμέσως αν θα μπορούσα να δουλέψω από απόσταση., Για τον κοινωνικό μου κύκλο που άφησα πίσω.","Οι δυνατότητες επαγγελματικής ανέλιξης που μου προσφέρονται., Η ποιότητα ζωής μου."
7/13/2019 0:38:33,"United Kingdom",2,8,9,10,9,6,7,7,4,"Για τον κοινωνικό μου κύκλο που άφησα πίσω., Καλύτερος συνδυασμός κόστους/ποιότητας ζωής., Νιώθω αποξενωμένος στο Εξωτερικό.","Οι δυνατότητες επαγγελματικής ανέλιξης που μου προσφέρονται."
7/13/2019 1:59:39,"United Kingdom",2,7,9,10,9,9,10,10,9,,"Οι δυνατότητες επαγγελματικής ανέλιξης που μου προσφέρονται., Η ποιότητα ζωής μου., Παρότι Έλληνας, νιώθω αποξενωμένος στην Ελλάδα, λόγω της κατάστασης στην χώρα."
7/13/2019 2:07:49,"United Kingdom",3,10,10,8,8,10,10,8,8,,"Οι δυνατότητες επαγγελματικής ανέλιξης που μου προσφέρονται., Προτιμώ το νέο μου κοινωνικό περιβάλλον., Η ποιότητα ζωής μου., Παρότι Έλληνας, νιώθω αποξενωμένος στην Ελλάδα, λόγω της κατάστασης στην χώρα."
7/13/2019 3:38:24,"France",2,9,8,9,8,9,5,9,9,"Για τον κοινωνικό μου κύκλο που άφησα πίσω., Θέλω να συνεισφέρω στην χώρα που με μεγάλωσε","Οι δυνατότητες επαγγελματικής ανέλιξης που μου προσφέρονται., Η ποιότητα ζωής μου σε συνδυασμό με το κόστος ζωής."
7/13/2019 4:59:44,"United Kingdom",1,6,8,9,6,6,8,9,6,"Θα γυρνούσα αμέσως αν θα μπορούσα να δουλέψω από απόσταση., Για τον κοινωνικό μου κύκλο που άφησα πίσω., Καλύτερος συνδυασμός κόστους/ποιότητας ζωής., Νιώθω αποξενωμένος στο Εξωτερικό., Ο τρόπος ζωής στο UK έχει πολλά θέματα.","Οι δυνατότητες επαγγελματικής ανέλιξης που μου προσφέρονται."
7/13/2019 8:13:43,"Cyprus","Λιγότερο από 1 χρόνο",7,4,7,7,7,4,7,7,"Για τον κοινωνικό μου κύκλο που άφησα πίσω.","Οι δυνατότητες επαγγελματικής ανέλιξης που μου προσφέρονται., Η ποιότητα ζωής μου., Παρότι Έλληνας, νιώθω αποξενωμένος στην Ελλάδα, λόγω της κατάστασης στην χώρα."
7/13/2019 8:17:56,"Belgium",3,5,6,6,4,6,6,5,5,"Θα γυρνούσα αμέσως αν θα μπορούσα να δουλέψω από απόσταση., Για τον κοινωνικό μου κύκλο που άφησα πίσω., Καλύτερος συνδυασμός κόστους/ποιότητας ζωής., Νιώθω αποξενωμένος στο Εξωτερικό., Για βοηθήσω στην ανοικοδόμηση της χώρας. Όσο ήμουν άνεργος το μόνο που έβλεπα ηταν σιχαμένα κομματόσκυλα να βολεύονται απο το κόμμα και τα μπαρμπαδια τους. Όλοι αυτοι κλωτσηδόν έξω απο το σύστημα και καταναγκαστική κοινωνική εργασία να ξεπληρώσουν το χρέος τους. Θα ήθελα να γυρίσω σε περίπτωση που υπήρχαν αξιοκρατικές διαδικασίες, εφαρμογή της νομοθεσίας, σεβασμός στον πεζό και στον μη καπνιστή, αν σταματούσαμε να πετάμε τα σκατά μας στον δρόμο λες και είμαστε αούγκανοι τριτοκοσμικοί υπάνθρωποι. Θέλετε να γράψω και άλλα;","Οι δυνατότητες επαγγελματικής ανέλιξης που μου προσφέρονται., Δεν θέλω να γυρίσω στην Ελλάδα γιατι έχει έλληνες. Χωρίς πλάκα. Γυφτιά, πουλ μουρ, δηθενιά, κλαρινογαμπριά, καλαμοκαβάλημα δεν εχω δει πουθενά αλλου στις 3 ξενες χώρες που έχω ζήσει (UK,Sweden,Belgium). Είμαστε μακράν απο τους πιο καραγκιόζηδες φαινομενικά. Βέβαια να σημειωθεί οτι δεν είναι αποκλειστικό μας προνομιο αυτο. Και σε αλλες χωρες υπάρχουν τέτοιοι και χειρότεροι. Απλά εμείς το κάναμε εθνικό σπόρ και το ανάγαμε σε επιστήμη."
7/13/2019 9:11:51,"Germany",4,8,7,9,6,8,4,9,5,,"Οι δυνατότητες επαγγελματικής ανέλιξης που μου προσφέρονται."
7/13/2019 9:53:20,"Cyprus","Λιγότερο από 1 χρόνο",6,3,8,7,5,5,6,6,"Καλύτερος συνδυασμός κόστους/ποιότητας ζωής.","Οι δυνατότητες επαγγελματικής ανέλιξης που μου προσφέρονται."
7/13/2019 10:19:13,"France",4,8,9,9,6,9,9,8,8,,"Οι δυνατότητες επαγγελματικής ανέλιξης που μου προσφέρονται., Προτιμώ το νέο μου κοινωνικό περιβάλλον., Η ποιότητα ζωής μου., Η ποιότητα ζωής μου σε συνδυασμό με το κόστος ζωής., Παρότι Έλληνας, νιώθω αποξενωμένος στην Ελλάδα, λόγω της κατάστασης στην χώρα."
7/13/2019 10:39:10,"Germany",2,10,7,10,6,9,7,8,8,"Για τον κοινωνικό μου κύκλο που άφησα πίσω.","Οι δυνατότητες επαγγελματικής ανέλιξης που μου προσφέρονται., Η ποιότητα ζωής μου., Η ποιότητα ζωής μου σε συνδυασμό με το κόστος ζωής., Παρότι Έλληνας, νιώθω αποξενωμένος στην Ελλάδα, λόγω της κατάστασης στην χώρα."
7/13/2019 11:22:10,"Cyprus",2,5,3,7,7,8,3,9,8,"Για τον κοινωνικό μου κύκλο που άφησα πίσω.","Οι δυνατότητες επαγγελματικής ανέλιξης που μου προσφέρονται., Η ποιότητα ζωής μου σε συνδυασμό με το κόστος ζωής."
7/13/2019 12:16:58,"United Kingdom",7,9,8,8,8,7,7,8,8,"Για τον κοινωνικό μου κύκλο που άφησα πίσω.","Οι δυνατότητες επαγγελματικής ανέλιξης που μου προσφέρονται., Προτιμώ το νέο μου κοινωνικό περιβάλλον., Η ποιότητα ζωής μου., Παρότι Έλληνας, νιώθω αποξενωμένος στην Ελλάδα, λόγω της κατάστασης στην χώρα."
7/13/2019 12:28:20,"Canada",7,5,7,9,8,6,4,9,1,"Θα γυρνούσα αμέσως αν θα μπορούσα να δουλέψω από απόσταση., Για τον κοινωνικό μου κύκλο που άφησα πίσω., Νιώθω αποξενωμένος στο Εξωτερικό.","Οι δυνατότητες επαγγελματικής ανέλιξης που μου προσφέρονται."
7/13/2019 12:43:07,"Switzerland",2,8,9,7,7,9,9,7,6,,"Οι δυνατότητες επαγγελματικής ανέλιξης που μου προσφέρονται., Η ποιότητα ζωής μου., Παρότι Έλληνας, νιώθω αποξενωμένος στην Ελλάδα, λόγω της κατάστασης στην χώρα."
7/13/2019 19:04:40,"Netherlands",10,9,9,6,6,9,9,7,7,"Για τον κοινωνικό μου κύκλο που άφησα πίσω.","Οι δυνατότητες επαγγελματικής ανέλιξης που μου προσφέρονται., Η ποιότητα ζωής μου., Η ποιότητα ζωής μου σε συνδυασμό με το κόστος ζωής., Παρότι Έλληνας, νιώθω αποξενωμένος στην Ελλάδα, λόγω της κατάστασης στην χώρα."
7/14/2019 1:08:28,"United Kingdom","Λιγότερο από 1 χρόνο",3,9,8,9,2,8,7,8,"Για τον κοινωνικό μου κύκλο που άφησα πίσω.","Οι δυνατότητες επαγγελματικής ανέλιξης που μου προσφέρονται."
7/14/2019 1:39:25,"United Kingdom",9,10,10,10,8,10,10,10,8,"Οχι","Προτιμώ το νέο μου κοινωνικό περιβάλλον."
7/14/2019 1:39:39,"United Kingdom",9,10,10,10,8,10,10,10,8,"Οχι","Προτιμώ το νέο μου κοινωνικό περιβάλλον."
7/14/2019 2:28:58,"United Kingdom",3,7,10,10,10,8,10,10,10,,"Οι δυνατότητες επαγγελματικής ανέλιξης που μου προσφέρονται., Η ποιότητα ζωής μου., Η ποιότητα ζωής μου σε συνδυασμό με το κόστος ζωής., Παρότι Έλληνας, νιώθω αποξενωμένος στην Ελλάδα, λόγω της κατάστασης στην χώρα."
7/14/2019 2:58:35,"Netherlands",9,6,10,8,8,8,10,8,9,,"Η ποιότητα ζωής μου."
7/14/2019 4:37:07,"United Kingdom",1,6,10,8,7,8,10,9,9,"Θα γυρνούσα αμέσως αν θα μπορούσα να δουλέψω από απόσταση.","Οι δυνατότητες επαγγελματικής ανέλιξης που μου προσφέρονται., Η ποιότητα ζωής μου., Παρότι Έλληνας, νιώθω αποξενωμένος στην Ελλάδα, λόγω της κατάστασης στην χώρα."
7/14/2019 6:34:35,"Czech Republic",7,10,10,7,6,10,10,7,6,,"Οι δυνατότητες επαγγελματικής ανέλιξης που μου προσφέρονται., Η ποιότητα ζωής μου., Η ποιότητα ζωής μου σε συνδυασμό με το κόστος ζωής."
7/14/2019 7:18:19,"United Kingdom",2,8,8,10,10,10,10,10,10,,"Οι δυνατότητες επαγγελματικής ανέλιξης που μου προσφέρονται., Προτιμώ το νέο μου κοινωνικό περιβάλλον., Η ποιότητα ζωής μου., Παρότι Έλληνας, νιώθω αποξενωμένος στην Ελλάδα, λόγω της κατάστασης στην χώρα."
7/14/2019 9:25:30,"United Kingdom",1,7,8,8,6,7,7,7,7,"Για τον κοινωνικό μου κύκλο που άφησα πίσω.","Η ποιότητα ζωής μου., Η ποιότητα ζωής μου σε συνδυασμό με το κόστος ζωής."
7/14/2019 10:42:03,"United Kingdom","Λιγότερο από 1 χρόνο",8,8,10,9,7,8,9,8,,"Οι δυνατότητες επαγγελματικής ανέλιξης που μου προσφέρονται., Προτιμώ το νέο μου κοινωνικό περιβάλλον., Η ποιότητα ζωής μου."
7/14/2019 11:20:26,"United Kingdom",3,5,10,5,1,7,10,4,1,"Καλύτερος συνδυασμός κόστους/ποιότητας ζωής., Νιώθω αποξενωμένος στο Εξωτερικό.","Παρότι Έλληνας, νιώθω αποξενωμένος στην Ελλάδα, λόγω της κατάστασης στην χώρα."
7/14/2019 11:24:35,"United Kingdom",6,3,7,7,7,7,7,7,7,,"Οι δυνατότητες επαγγελματικής ανέλιξης που μου προσφέρονται., Προτιμώ το νέο μου κοινωνικό περιβάλλον., Η ποιότητα ζωής μου., Η ποιότητα ζωής μου σε συνδυασμό με το κόστος ζωής., Παρότι Έλληνας, νιώθω αποξενωμένος στην Ελλάδα, λόγω της κατάστασης στην χώρα."
7/14/2019 13:06:50,"Germany",1,9,8,10,10,9,8,9,9,"Καλύτερος συνδυασμός κόστους/ποιότητας ζωής.","Παρότι Έλληνας, νιώθω αποξενωμένος στην Ελλάδα, λόγω της κατάστασης στην χώρα."
7/14/2019 14:34:26,"Germany",4,10,10,10,7,9,10,10,7,,"Οι δυνατότητες επαγγελματικής ανέλιξης που μου προσφέρονται., Η ποιότητα ζωής μου., Παρότι Έλληνας, νιώθω αποξενωμένος στην Ελλάδα, λόγω της κατάστασης στην χώρα."
7/14/2019 18:13:15,"United Kingdom",2,10,10,10,10,10,10,10,10,"Δεν θα γύριζα ","Οι δυνατότητες επαγγελματικής ανέλιξης που μου προσφέρονται., Προτιμώ το νέο μου κοινωνικό περιβάλλον., Η ποιότητα ζωής μου., Η ποιότητα ζωής μου σε συνδυασμό με το κόστος ζωής., Παρότι Έλληνας, νιώθω αποξενωμένος στην Ελλάδα, λόγω της κατάστασης στην χώρα."
7/14/2019 18:13:24,"United Kingdom",2,10,10,10,10,10,10,10,10,"Δεν θα γύριζα ","Οι δυνατότητες επαγγελματικής ανέλιξης που μου προσφέρονται., Προτιμώ το νέο μου κοινωνικό περιβάλλον., Η ποιότητα ζωής μου., Η ποιότητα ζωής μου σε συνδυασμό με το κόστος ζωής., Παρότι Έλληνας, νιώθω αποξενωμένος στην Ελλάδα, λόγω της κατάστασης στην χώρα."
7/14/2019 19:28:03,"United Kingdom",4,8,8,9,8,8,9,9,9,,"Οι δυνατότητες επαγγελματικής ανέλιξης που μου προσφέρονται., Η ποιότητα ζωής μου σε συνδυασμό με το κόστος ζωής."
7/14/2019 22:17:57,"United Kingdom",2,6,8,9,8,5,8,8,8,"Για τον κοινωνικό μου κύκλο που άφησα πίσω., Καλύτερος συνδυασμός κόστους/ποιότητας ζωής., Νιώθω αποξενωμένος στο Εξωτερικό.","Οι δυνατότητες επαγγελματικής ανέλιξης που μου προσφέρονται."
7/15/2019 0:04:53,"United Kingdom",3,10,10,10,10,7,7,7,10,"Για τον κοινωνικό μου κύκλο που άφησα πίσω., Καλύτερος συνδυασμός κόστους/ποιότητας ζωής., Θα ήθελα να φτιάξω οικογένεια στην Ελλάδα","Οι δυνατότητες επαγγελματικής ανέλιξης που μου προσφέρονται."
7/15/2019 6:29:24,"Belgium",3,7,8,8,7,7,8,8,7,"Θα γυρνούσα αμέσως αν θα μπορούσα να δουλέψω από απόσταση., Καλύτερος συνδυασμός κόστους/ποιότητας ζωής.","Οι δυνατότητες επαγγελματικής ανέλιξης που μου προσφέρονται., Προτιμώ το νέο μου κοινωνικό περιβάλλον., Η ποιότητα ζωής μου., Παρότι Έλληνας, νιώθω αποξενωμένος στην Ελλάδα, λόγω της κατάστασης στην χώρα., Ελλειψη κρατικου μηχανισμου, πολιτικου συστηματος, κοινωνικης συνειδησης"
7/15/2019 7:19:36,"United Kingdom",17,8,9,10,7,10,9,10,10,"Θα γυρνούσα αμέσως αν θα μπορούσα να δουλέψω από απόσταση.","Οι δυνατότητες επαγγελματικής ανέλιξης που μου προσφέρονται., Η ποιότητα ζωής μου., Παρότι Έλληνας, νιώθω αποξενωμένος στην Ελλάδα, λόγω της κατάστασης στην χώρα."
7/15/2019 8:28:35,"United Kingdom",10,8,10,10,10,5,10,10,10,"Θα γυρνούσα αμέσως αν θα μπορούσα να δουλέψω από απόσταση.","Οι δυνατότητες επαγγελματικής ανέλιξης που μου προσφέρονται., Προτιμώ το νέο μου κοινωνικό περιβάλλον., Η ποιότητα ζωής μου., Παρότι Έλληνας, νιώθω αποξενωμένος στην Ελλάδα, λόγω της κατάστασης στην χώρα."
7/15/2019 9:45:33,"United Kingdom",17,7,9,7,8,9,10,10,9,,"Οι δυνατότητες επαγγελματικής ανέλιξης που μου προσφέρονται., Προτιμώ το νέο μου κοινωνικό περιβάλλον., Η ποιότητα ζωής μου., Παρότι Έλληνας, νιώθω αποξενωμένος στην Ελλάδα, λόγω της κατάστασης στην χώρα."
